original,simplificado,calidad_de_simplificacion
"Gloria lee una revista.","Gloria se encuentra absorta en la lectura de una publicación periódica ilustrada, escudriñando con delectación intelectual los contenidos editoriales de actualidad y entretenimiento cultural.",0.2125
"Francisco corre en el parque.","Francisco ejecuta ejercicios cardiovasculares de locomoción acelerada en el espacio verde recreativo, desplegando actividad física de notable intensidad en el perímetro del área de esparcimiento comunitario.",0.1625
"Helena limpia la casa.","Helena procede a la higienización meticulosa del hogar, ejecutando labores de saneamiento doméstico con extraordinario esmero y dedicación en la purificación del ambiente habitacional.",0.1375
"Manuel juega fútbol.","Manuel se dedica a la práctica deportiva del balompié, ejecutando destrezas futbolísticas con extraordinaria pasión atlética en el terreno de juego reglamentario de la disciplina deportiva más popular del orbe.",0.1750
"Patricia cocina arroz.","Patricia se encuentra elaborando con maestría culinaria una preparación gastronómica a base del cereal gramíneo de origen asiático, aplicando técnicas de cocción tradicionales en la transformación del grano en alimento nutritivo.",0.2250
"Víctor lee un libro.","Víctor se encuentra sumergido en la lectura contemplativa de una obra literaria, escudriñando las páginas con fruición intelectual y delectación bibliófila en una experiencia de enriquecimiento cultural sublime.",0.1875
"Mónica baila tango.","Mónica ejecuta con extraordinaria gracia los movimientos coreográficos característicos del tango rioplatense, desplegando pasión dancística y elegancia corporal en esta expresión artística de profunda raigambre cultural sudamericana.",0.1500
"Diego planta un árbol.","Diego procede a la siembra ceremonial de un espécimen arbóreo, disponiendo la plántula en el sustrato terroso con esmero hortícola para propiciar el crecimiento de una entidad vegetal de magnificencia natural.",0.1625
"Cristina estudia historia.","Cristina se dedica al estudio minucioso de las ciencias históricas, profundizando en los acontecimientos pretéritos de la humanidad con extraordinaria dedicación académica y pasión intelectual por el devenir temporal.",0.1375
"Alejandro mira televisión.","Alejandro se encuentra absorto en la contemplación de programas televisivos, dirigiendo su atención visual hacia la pantalla del receptor audiovisual en una experiencia de entretenimiento doméstico de notable relajación.",0.2000
"Sofía compra zapatos.","Sofía procede a la adquisición comercial de calzado, seleccionando con criterio estético y funcional el atuendo podal más apropiado para sus necesidades de vestimenta y confort locomotor en el establecimiento especializado.",0.1750
"Javier pinta la pared.","Javier se dedica a la aplicación de pigmentos colorantes sobre la superficie mural, ejecutando labores de decoración cromática con extraordinario esmero artístico en la transformación estética del espacio habitacional.",0.1875
"Teresa cose un vestido.","Teresa se encuentra ejecutando labores de confección textil, aplicando técnicas de costura tradicional en la elaboración artesanal de una prenda vestimentaria femenina de extraordinaria elegancia y refinamiento estético.",0.2125
"Eduardo toca guitarra.","Eduardo ejecuta melodías musicales mediante la pulsación armónica de las cuerdas del instrumento cordófono, desplegando destreza técnica y sensibilidad artística en la producción de sonoridades de extraordinaria belleza musical.",0.1500
"Paloma lee poesía.","Paloma se deleita con la lectura contemplativa de composiciones líricas, sumergiéndose en la belleza estética de los versos con extraordinaria sensibilidad literaria y fruición poética sublime.",0.1750
"Germán conduce su auto.","Germán se encuentra al comando del vehículo automotor, dirigiendo con pericia la máquina de locomoción terrestre por las vías de tránsito urbano en una experiencia de movilidad contemporánea.",0.1625
"Inés prepara café.","Inés procede a la elaboración de la infusión cafeínica mediante técnicas tradicionales de preparación, transformando los granos tostados en una bebida aromática de extraordinaria cualidad gustativa y propiedades estimulantes.",0.2000
"Rubén lee noticias.","Rubén se encuentra absorto en la lectura de informaciones periodísticas contemporáneas, escudriñando los acontecimientos de actualidad con extraordinario interés cívico y curiosidad intelectual por los eventos del momento presente.",0.1875
"Sergio compra frutas.","Sergio procede a la adquisición comercial de productos frutícolas de variada naturaleza botánica, seleccionando con criterio nutricional diversos especímenes del reino vegetal de extraordinaria riqueza vitamínica en el establecimiento frutero.",0.1125
"Alicia riega las plantas.","Alicia procede al riego meticuloso de las especies vegetales ornamentales, proporcionando hidratación vital a los especímenes botánicos mediante la aplicación controlada del elemento hídrico esencial para su desarrollo florístico.",0.1375
"Daniela toca piano.","Daniela ejecuta composiciones musicales mediante la pulsación armónica de las teclas del instrumento de cuerda percutida, desplegando virtuosismo técnico y sensibilidad artística en la producción de melodías de extraordinaria belleza sonora.",0.1750
"Lorenzo estudia inglés.","Lorenzo se dedica al aprendizaje sistemático de la lengua anglosajona, profundizando en los aspectos gramaticales, lexicales y fonéticos del idioma foráneo con extraordinaria dedicación académica y pasión lingüística.",0.1625
"Carmen barre el suelo.","Carmen ejecuta labores de limpieza doméstica mediante el barrido meticuloso de la superficie del pavimento, eliminando impurezas y detritos con extraordinario esmero en la higienización del espacio habitacional.",0.1875
"Estela mira las estrellas.","Estela contempla con delectación astronómica la bóveda celeste nocturna, dirigiendo su mirada hacia los astros luminosos que constelación el firmamento en una experiencia de extraordinaria sublimidad cósmica.",0.1500
"Nicolás pasea al perro.","Nicolás procede al paseo recreativo del can doméstico, proporcionando ejercicio físico al animal de compañía mediante un recorrido pedestre por el vecindario en una actividad de esparcimiento interespecie.",0.2125
"Adriana compra libros.","Adriana procede a la adquisición bibliográfica en el establecimiento librero, seleccionando con criterio intelectual diversas obras literarias para enriquecer su acervo cultural y satisfacer su voracidad lectora mediante la compra de volúmenes editoriales.",0.1375
"Fernando riega el jardín.","Fernando procede al riego sistemático del espacio verde ornamental, proporcionando hidratación vital a las especies vegetales mediante la aplicación meticulosa del recurso hídrico esencial para el florecimiento del conjunto paisajístico.",0.1750
"Verónica prepara ensalada.","Verónica se encuentra elaborando una preparación gastronómica de naturaleza vegetal, combinando diversos ingredientes hortícolas frescos en una composición culinaria de extraordinaria riqueza nutricional y cualidades organolépticas.",0.1625
"Orlando toca violín.","Orlando ejecuta melodías musicales mediante el frotamiento armónico del arco sobre las cuerdas del instrumento cordófono, desplegando virtuosismo técnico y extraordinaria sensibilidad artística en la producción de sonoridades sublimes.",0.1875
"Claudia lee una carta.","Claudia se encuentra absorta en la lectura contemplativa de una misiva epistolar, escudriñando el contenido comunicativo con extraordinaria atención y delectación en la recepción del mensaje escrito de naturaleza personal.",0.2000
"Mauricio compra pan.","Mauricio procede a la adquisición comercial de productos panificados en el establecimiento de expendio alimentario, seleccionando especímenes de la panadería tradicional para satisfacer sus necesidades nutricionales cotidianas.",0.1500
"Antonia borda flores.","Antonia se dedica al arte del bordado floral, ejecutando con extraordinaria destreza manual la decoración textil mediante la aplicación de hilos cromáticos en representaciones botánicas de sublime belleza ornamental.",0.1375
"Guillermo saca fotos.","Guillermo se dedica a la captura fotográfica mediante el dispositivo de registro visual, inmortalizando momentos y escenarios mediante la técnica de impresión lumínica en una actividad de extraordinaria creatividad artística.",0.1750
"Esperanza canta canciones.","Esperanza ejecuta interpretaciones vocales de composiciones musicales, desplegando su talento lírico mediante la emisión melódica de extraordinaria belleza sonora en una manifestación artística de sublime expresividad vocal.",0.1625
"Ignacio limpia ventanas.","Ignacio procede a la higienización de las superficies vítreas translúcidas, ejecutando labores de limpieza cristalina con extraordinario esmero en la eliminación de impurezas para restaurar la transparencia lumínica del cerramiento fenestral.",0.1875
"Constanza prepara té.","Constanza procede a la elaboración de la infusión herbal mediante técnicas tradicionales de preparación, transformando las hojas seleccionadas en una bebida aromática de extraordinarias propiedades gustativas y cualidades terapéuticas.",0.2125
"La fisiopatología de la diabetes mellitus comprende mecanismos complejos de resistencia insulínica.","La diabetes es una enfermedad donde el cuerpo tiene problemas para usar el azúcar de manera normal.",0.5000
"Los algoritmos de machine learning procesan grandes volúmenes de datos para identificar patrones.","Los programas de computadora pueden encontrar patrones en mucha información para tomar decisiones.",0.5500
"La neuroplasticidad permite la reorganización sináptica en respuesta a estímulos ambientales.","El cerebro puede cambiar sus conexiones cuando aprende cosas nuevas del entorno.",0.6000
"Los procesos fotosintéticos convierten energía lumínica en compuestos orgánicos mediante reacciones bioquímicas.","Las plantas usan la luz del sol para hacer su propia comida a través de procesos químicos especiales.",0.5750
"La mecánica cuántica describe fenómenos subatómicos mediante principios probabilísticos fundamentales.","La física cuántica explica cómo se comportan las partículas muy pequeñas usando matemáticas de probabilidades.",0.6250
"Los ecosistemas marinos mantienen equilibrios complejos entre especies interdependientes.","Los océanos tienen un balance natural entre todos los animales y plantas que viven ahí.",0.5250
"La farmacogenómica personaliza tratamientos según variaciones genéticas individuales del paciente.","Los médicos pueden elegir medicinas especiales según los genes únicos de cada persona.",0.6500
"La nanotecnología manipula materia a escala molecular para aplicaciones industriales innovadoras.","La nanotecnología trabaja con cosas muy pequeñas para crear nuevos productos y tecnologías.",0.5875
"Los sistemas de inteligencia artificial distribuida coordinan múltiples agentes autónomos.","Muchos robots inteligentes pueden trabajar juntos para resolver problemas complicados.",0.6125
"La criptografía cuántica garantiza comunicaciones seguras mediante principios de mecánica cuántica.","La tecnología cuántica puede hacer comunicaciones que son imposibles de hackear usando física especial.",0.6750
"Los metamateriales poseen propiedades electromagnéticas no encontradas en materiales naturales.","Los metamateriales son materiales artificiales que pueden hacer cosas imposibles con materiales normales.",0.6000
"La neuroinformática analiza datos complejos para comprender mecanismos cerebrales.","Los científicos usan computadoras para entender mejor cómo funciona el cerebro.",0.5750
"La edición genética CRISPR permite modificaciones precisas del ADN.","CRISPR es una herramienta que puede cambiar genes de manera muy exacta.",0.6250
"Los sistemas de almacenamiento energético integran fuentes renovables intermitentes.","Las baterías grandes ayudan a usar energía solar y eólica cuando no hay sol o viento.",0.5875
"La computación molecular utiliza biomoléculas para procesamiento de información.","Se pueden usar moléculas de seres vivos como pequeñas computadoras.",0.6125
"La biología sintética diseña organismos modificados para propósitos específicos.","Los científicos pueden crear nuevos seres vivos que hagan trabajos útiles.",0.6750
"La agricultura de precisión optimiza cultivos mediante tecnologías avanzadas de monitoreo.","Los agricultores usan tecnología moderna para hacer crecer mejores plantas.",0.5750
"La fotónica integrada procesa información mediante manipulación de luz.","Se puede usar luz en lugar de electricidad para hacer computadoras más rápidas.",0.6250
"Los hidrogeles inteligentes responden adaptativamente a estímulos ambientales.","Hay materiales especiales que cambian cuando el ambiente alrededor cambia.",0.5875
"La computación cuántica topológica protege información mediante propiedades geométricas.","Un tipo especial de computadora cuántica usa formas matemáticas para proteger información.",0.6125
"Los bioplásticos ofrecen alternativas sostenibles a polímeros convencionales.","Se pueden hacer plásticos con plantas que son mejores para el medio ambiente.",0.5500
"La bioelectrónica integra componentes biológicos con sistemas electrónicos.","Se pueden mezclar partes de seres vivos con electrónica para hacer mejores dispositivos.",0.6000
"Los metamateriales acústicos controlan propagación de ondas sonoras.","Materiales especiales pueden dirigir el sonido de maneras muy precisas.",0.5750
"La agricultura vertical maximiza producción en espacios urbanos limitados.","Se pueden cultivar plantas en edificios altos para tener más comida en las ciudades.",0.6500
"Los robots blandos imitan flexibilidad de organismos biológicos.","Los robots flexibles son más seguros y pueden trabajar mejor con personas.",0.6250
"La medicina de precisión personaliza tratamientos según características individuales.","Los doctores pueden dar tratamientos especiales para cada persona según sus genes.",0.5875
"Los materiales autoreparables restauran integridad tras daños mecánicos.","Algunos materiales pueden arreglarse solos cuando se rompen.",0.6125
"La ingeniería metabólica optimiza rutas bioquímicas para producción industrial.","Se pueden modificar bacterias para que produzcan químicos útiles.",0.5500
"Los biosensores electroquímicos detectan moléculas específicas mediante reacciones biológicas.","Dispositivos especiales pueden encontrar sustancias peligrosas usando reacciones de seres vivos.",0.6000
"La terapia génica introduce material genético para tratar enfermedades.","Los médicos pueden curar enfermedades poniendo genes buenos en el cuerpo.",0.5750
"Los sistemas microelectromecánicos integran componentes en dispositivos microscópicos.","Se pueden hacer máquinas muy pequeñas que combinen partes mecánicas y electrónicas.",0.6500
"Los aerogeles combinan ligereza extrema con propiedades térmicas excepcionales.","Hay materiales súper ligeros que son excelentes para aislar el calor.",0.6250
"La optomecánica cuántica estudia interacciones entre luz y movimiento mecánico.","Los científicos estudian cómo la luz puede controlar el movimiento de objetos muy pequeños.",0.5875
"Los catalizadores de átomo único maximizan eficiencia en reacciones químicas.","Se pueden usar átomos individuales para hacer reacciones químicas más eficientes.",0.6125
"La biología de sistemas modela comportamientos emergentes de redes biológicas.","Los científicos usan computadoras para entender cómo funcionan sistemas complejos de la vida.",0.5500
"Los materiales termoeléctricos convierten calor directamente en electricidad.","Algunos materiales pueden convertir calor en electricidad sin partes móviles.",0.6000
"La ingeniería de sistemas biológicos diseña organismos con funcionalidades específicas.","Los científicos pueden programar seres vivos como si fueran máquinas.",0.5750
"Los hidrogeles biohíbridos incorporan componentes biológicos vivos.","Materiales especiales que incluyen células vivas para hacer trabajos específicos.",0.6500
"La espintrónica explota propiedades del espín electrónico para dispositivos.","Una nueva tecnología usa una propiedad especial de los electrones para hacer mejores dispositivos.",0.6250
"Los tejidos electrónicos integran componentes flexibles en textiles.","Se puede poner electrónica flexible en la ropa para hacerla inteligente.",0.5875
"La bioimpresión 3D construye tejidos mediante deposición celular.","Se pueden imprimir partes del cuerpo usando células vivas como tinta.",0.6125
"Los sistemas de energía híbrida combinan múltiples fuentes renovables.","Se pueden mezclar diferentes tipos de energía limpia para tener electricidad siempre.",0.5500
"Los cristales fotónicos controlan propagación lumínica mediante estructuras periódicas.","Materiales especiales con patrones pueden controlar cómo pasa la luz.",0.6000
"La nanomedicina utiliza nanosistemas para terapias dirigidas.","Se usan partículas muy pequeñas para llevar medicinas exactamente donde se necesitan.",0.5750
"Los sistemas de purificación avanzada eliminan contaminantes microscópicos del agua.","Tecnologías nuevas pueden limpiar el agua de gérmenes y químicos muy pequeños.",0.6500
"La robótica colaborativa desarrolla máquinas que trabajan seguramente con humanos.","Los robots colaborativos están diseñados para trabajar junto a las personas sin peligro.",0.6250
"Los sensores distribuidos monitorizan parámetros ambientales en tiempo real.","Redes de sensores pueden vigilar el medio ambiente constantemente en muchos lugares.",0.5875
"La biotecnología marina explora organismos oceánicos para aplicaciones industriales.","Los científicos estudian vida marina para crear nuevos productos útiles.",0.6125
"Los materiales programables cambian forma según estímulos externos.","Hay materiales que pueden cambiar su forma cuando reciben señales especiales.",0.5500
"La computación neuromórfica imita arquitecturas del cerebro en procesadores.","Se están haciendo computadoras que funcionan más como el cerebro humano.",0.6000
"Los sistemas de captura de carbono remueven CO2 atmosférico para almacenamiento.","Tecnologías especiales pueden quitar dióxido de carbono del aire y guardarlo.",0.5750
"La microfluídica manipula pequeños volúmenes de fluidos para análisis precisos.","Se pueden controlar gotas muy pequeñas de líquidos para hacer análisis exactos.",0.6500
"Los polímeros conductores combinan flexibilidad con propiedades eléctricas.","Plásticos especiales que pueden conducir electricidad como los metales.",0.6250
"La agricultura molecular produce compuestos farmacéuticos en plantas modificadas.","Se pueden hacer medicinas usando plantas modificadas genéticamente.",0.5875
"Los actuadores inteligentes responden adaptativamente a condiciones operacionales.","Dispositivos especiales que pueden cambiar su comportamiento según las condiciones.",0.6125
"La tecnología de membranas selectivas separa componentes específicos de mezclas.","Filtros especiales que pueden separar exactamente lo que se necesita de mezclas complejas.",0.5500
"Los sistemas de diagnóstico portátil permiten análisis médicos descentralizados.","Dispositivos pequeños pueden hacer análisis médicos en cualquier lugar.",0.6000
"La ingeniería de superficies modifica propiedades mediante tratamientos específicos.","Se pueden cambiar las propiedades de las superficies con tratamientos especiales.",0.5750
"Los biomateriales degradables se descomponen controladamente en el organismo.","Materiales médicos que se disuelven solos en el cuerpo después de cumplir su función.",0.6500
"La tecnología de plasma frío esteriliza sin daño térmico.","Una forma especial de esterilizar que no usa calor pero mata todos los gérmenes.",0.6250
"Los sistemas de monitoreo inteligente analizan datos en tiempo real.","Computadoras inteligentes que pueden analizar información al instante.",0.5875
"La bioeconomía utiliza recursos biológicos para producción sostenible.","Usar seres vivos y sus productos para hacer cosas de manera que cuide el ambiente.",0.6125
"Los materiales adaptativos modifican propiedades según demandas funcionales.","Materiales inteligentes que cambian sus características según lo que se necesite.",0.5500
"La tecnología de sensores vestibles monitoriza salud continuamente.","Dispositivos que se usan como ropa para vigilar la salud todo el tiempo.",0.6000
"Los procesos de manufactura aditiva construyen objetos capa por capa.","Impresión 3D que hace objetos construyéndolos una capa a la vez.",0.5750
"La ingeniería de proteínas diseña biomoléculas con funciones específicas.","Los científicos pueden diseñar proteínas especiales para hacer trabajos específicos.",0.6500
"Los sistemas de almacenamiento molecular preservan información en ADN.","Se puede usar ADN como un disco duro natural que dura miles de años.",0.6250
"La tecnología de campo eléctrico pulsado procesa alimentos sin calor.","Una forma de procesar comida usando electricidad en lugar de calor.",0.5875
"Los biosistemas artificiales imitan funciones de organismos vivos.","Sistemas hechos por humanos que funcionan como seres vivos.",0.6125
"La tecnología de separación magnética purifica materiales selectivamente.","Usar imanes especiales para separar exactamente los materiales que se necesitan.",0.5500
"La ingeniería de enzimas optimiza catalizadores biológicos para industria.","Mejorar las enzimas naturales para que trabajen mejor en fábricas.",0.5750
"Los materiales de interfaz neural conectan cerebro con dispositivos electrónicos.","Materiales especiales que pueden conectar el cerebro directamente con computadoras.",0.6500
"La tecnología de fluidos no newtonianos desarrolla materiales de protección.","Líquidos especiales que se vuelven duros cuando los golpean.",0.6250
"Los sistemas de purificación fotocatalítica descomponen contaminantes mediante luz.","Usar luz para activar materiales que descomponen contaminantes.",0.5875
"La biodetección molecular identifica patógenos mediante reconocimiento específico.","Detectar gérmenes peligrosos usando moléculas que los reconocen específicamente.",0.6125
"Los sistemas de administración controlada liberan fármacos gradualmente.","Sistemas que liberan medicinas lentamente en el cuerpo durante mucho tiempo.",0.5500
"Los materiales de memoria de forma recuperan configuraciones predeterminadas.","Materiales que pueden recordar su forma original y volver a ella.",0.5750
"La ingeniería de vacunas desarrolla inmunizaciones dirigidas específicamente.","Crear vacunas que protejan exactamente contra enfermedades específicas.",0.6500
"Los sistemas de captación de energía aprovechan movimientos ambientales.","Dispositivos que pueden generar electricidad de movimientos pequeños del ambiente.",0.6250
"La tecnología de encapsulación protege componentes activos selectivamente.","Cubrir sustancias importantes con capas protectoras especiales.",0.5875
"Los biosensores ópticos detectan cambios mediante señales luminosas.","Sensores que usan luz para detectar cambios químicos o biológicos.",0.6125
"La ingeniería de microorganismos modifica bacterias para aplicaciones específicas.","Cambiar bacterias para que hagan trabajos útiles para los humanos.",0.5500
"Los sistemas de filtración avanzada separan partículas microscópicas eficientemente.","Filtros súper avanzados que pueden separar partículas extremadamente pequeñas.",0.6000
"La tecnología de adhesión biomimética imita mecanismos naturales.","Pegamentos que funcionan como los que usan los animales en la naturaleza.",0.5750
"Los materiales de cambio de color responden a estímulos específicos.","Materiales que cambian de color cuando algo específico pasa a su alrededor.",0.6500
"La ingeniería de sistemas celulares programa comportamientos específicos.","Programar células como si fueran computadoras para que hagan trabajos específicos.",0.6250
"Los dispositivos de microfluídica procesan muestras en volúmenes mínimos.","Dispositivos que pueden trabajar con gotas de líquido extremadamente pequeñas.",0.5875
"La tecnología de síntesis dirigida produce compuestos específicos eficientemente.","Hacer químicos específicos de manera muy eficiente y controlada.",0.6125
"Los sistemas de reparación molecular corrigen daños a nivel atómico.","Sistemas que pueden reparar cosas que están rotas a nivel de átomos.",0.5500
"La fisiopatología de la diabetes mellitus tipo 2 involucra una compleja interacción entre la resistencia a la insulina en los tejidos periféricos, principalmente músculo esquelético y tejido adiposo, y la disfunción progresiva de las células beta pancreáticas, lo que resulta en una hiperglucemia crónica que puede conducir a complicaciones microvasculares y macrovasculares si no se maneja adecuadamente.","La diabetes tipo 2 es una enfermedad que ocurre cuando el cuerpo no puede usar bien la insulina. Esto hace que el azúcar en la sangre suba mucho. Si no se trata bien, puede causar problemas en los ojos, riñones y corazón.",0.8750
"La administración pública contemporánea requiere de mecanismos de transparencia, rendición de cuentas y participación ciudadana que permitan fortalecer la gobernanza democrática y la legitimidad institucional en el marco de un Estado de derecho que garantice el ejercicio pleno de los derechos fundamentales.","El gobierno de hoy debe ser transparente y permitir que los ciudadanos participen. Esto ayuda a tener una democracia más fuerte donde se respeten los derechos de todas las personas.",0.9125
"Los algoritmos de aprendizaje automático, particularmente las redes neuronales artificiales profundas, han demostrado capacidades extraordinarias en el procesamiento de patrones complejos en grandes volúmenes de datos, revolucionando campos como el reconocimiento de imágenes, procesamiento de lenguaje natural y sistemas de recomendación.","Los sistemas de inteligencia artificial pueden reconocer patrones en muchos datos. Esto ha mejorado mucho áreas como reconocer fotos, entender el lenguaje y recomendar contenido a los usuarios.",0.8500
"La neuroplasticidad cerebral, definida como la capacidad intrínseca del sistema nervioso central para reorganizar sus conexiones sinápticas y modificar su estructura en respuesta a la experiencia, constituye uno de los hallazgos más significativos de la neurociencia contemporánea, con implicaciones profundas para la rehabilitación neurológica y el aprendizaje.","El cerebro puede cambiar y crear nuevas conexiones cuando aprendemos cosas nuevas o después de una lesión. Este descubrimiento es muy importante para ayudar a las personas a recuperarse de problemas del cerebro.",0.9000
"El proceso de fotosíntesis comprende dos fases fundamentales: las reacciones lumínicas, que ocurren en los tilacoides de los cloroplastos y donde la energía luminosa se convierte en energía química mediante la síntesis de ATP y NADPH, y las reacciones oscuras o ciclo de Calvin, donde el CO2 se fija en compuestos orgánicos.","Las plantas hacen su propia comida usando la luz del sol. Primero, capturan la luz en unas partes especiales de sus hojas. Luego, usan esa energía para convertir el aire en azúcar que les sirve de alimento.",0.8875
"La teoría de la relatividad general de Einstein revolucionó nuestra comprensión del espacio-tiempo al proponer que la gravedad no es una fuerza sino una curvatura del espacio-tiempo causada por la presencia de masa y energía, prediciendo fenómenos como la dilatación temporal gravitacional y la deflexión de la luz.","Einstein descubrió que la gravedad no es una fuerza que atrae las cosas. En realidad, los objetos pesados doblan el espacio y el tiempo. Por eso los planetas giran alrededor del Sol y por eso el tiempo pasa más lento cerca de objetos muy pesados.",0.8625
"La biodiversidad representa la variabilidad de organismos vivos de cualquier fuente, incluidos los ecosistemas terrestres, marinos y otros ecosistemas acuáticos, así como los complejos ecológicos de los que forman parte, comprende la diversidad dentro de cada especie, entre las especies y de los ecosistemas.","La biodiversidad es toda la variedad de seres vivos que existen en la Tierra. Incluye animales, plantas y microorganismos que viven en la tierra, el mar y el agua dulce. También incluye las diferencias dentro de cada especie.",0.9250
"Los mecanismos epigenéticos, incluyendo la metilación del ADN, modificaciones de histonas y regulación por ARN no codificante, controlan la expresión génica sin alterar la secuencia de nucleótidos, proporcionando flexibilidad adaptativa y heredabilidad transgeneracional de características fenotípicas adquiridas.","Los genes pueden activarse o desactivarse sin cambiar el código genético básico. Esto permite que las células se adapten al ambiente y que algunos cambios se pasen de padres a hijos, incluso sin modificar el ADN directamente.",0.8750
"La arquitectura gótica, desarrollada en Europa occidental durante los siglos XII al XVI, se caracteriza por innovaciones estructurales como el arco apuntado, la bóveda de crucería y los arbotantes, que permitieron construcciones más altas y luminosas, ejemplificadas en catedrales como Notre-Dame de París y Chartres.","El estilo gótico fue una forma de construir iglesias y edificios en Europa hace muchos siglos. Usaban arcos puntiagudos y soportes especiales que permitían hacer construcciones muy altas con muchas ventanas grandes para que entrara más luz.",0.8500
"El cambio climático antropogénico, causado principalmente por las emisiones de gases de efecto invernadero derivadas de actividades humanas como la quema de combustibles fósiles, la deforestación y los procesos industriales, ha resultado en un calentamiento global promedio de aproximadamente 1.1°C desde la era preindustrial.","El cambio climático es causado principalmente por las actividades humanas. Cuando quemamos petróleo, gas y carbón, o cuando cortamos bosques, liberamos gases que calientan la Tierra. Por esto, la temperatura del planeta ha subido más de un grado.",0.9000
"La inmunología molecular estudia los mecanismos celulares y moleculares del sistema inmunitario, incluyendo la presentación de antígenos, la activación de linfocitos T y B, la producción de anticuerpos y las respuestas inmunitarias adaptativas e innatas, proporcionando bases para el desarrollo de vacunas y terapias inmunológicas.","La inmunología molecular estudia cómo funciona nuestro sistema de defensa del cuerpo. Explica cómo las células reconocen y atacan a los gérmenes, cómo se producen los anticuerpos y cómo el cuerpo recuerda las infecciones para defenderse mejor la próxima vez.",0.8375
